date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:52	16057/16057	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222bb5d03cca1758fb207905f31528a651%22	https://playdoge.io/assets/images/svg-icons/the-economic.svg	C:/game/playdoge.io/assets/images/svg-icons/the-economic.svg	(from https://playdoge.io/en)
05:40:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:54%20GMT	http://playdoge.io/assets/images/svg-icons/cryptopolitan.svg	C:/game/playdoge.io/assets/images/svg-icons/cryptopolitan.svg	(from https://playdoge.io/en)
05:40:53	4368/4368	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ccdd716c19ae41b3e6572cbea80dce8%22	https://playdoge.io/assets/images/svg-icons/fxstreet.svg	C:/game/playdoge.io/assets/images/svg-icons/fxstreet.svg	(from https://playdoge.io/en)
05:40:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:55%20GMT	http://playdoge.io/assets/images/svg-icons/bitcoin.svg	C:/game/playdoge.io/assets/images/svg-icons/bitcoin.svg	(from https://playdoge.io/en)
05:40:54	13960/13960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a8bd8e7dbbd06bc9fc6963d5ab515169%22	https://playdoge.io/assets/images/svg-icons/cryptopolitan.svg	C:/game/playdoge.io/assets/images/svg-icons/cryptopolitan.svg	(from https://playdoge.io/en)
05:40:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:55%20GMT	http://playdoge.io/assets/images/svg-icons/binance-square.svg	C:/game/playdoge.io/assets/images/svg-icons/binance-square.svg	(from https://playdoge.io/en)
05:40:55	8222/8222	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22432cc35cbafd6437a97c8a8edcf38c91%22	https://playdoge.io/assets/images/svg-icons/bitcoin.svg	C:/game/playdoge.io/assets/images/svg-icons/bitcoin.svg	(from https://playdoge.io/en)
05:40:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:57%20GMT	http://playdoge.io/assets/images/svg-icons/tradingview.svg	C:/game/playdoge.io/assets/images/svg-icons/tradingview.svg	(from https://playdoge.io/en)
05:40:56	4762/4762	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22894a969597280140bbe8d394d240bbef%22	https://playdoge.io/assets/images/svg-icons/binance-square.svg	C:/game/playdoge.io/assets/images/svg-icons/binance-square.svg	(from https://playdoge.io/en)
05:40:56	5013/5013	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ec39a4a0f5327bbce58b0cad036b21dd%22	https://playdoge.io/assets/images/svg-icons/tradingview.svg	C:/game/playdoge.io/assets/images/svg-icons/tradingview.svg	(from https://playdoge.io/en)
